,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6,Ch_7,Ch_8,Ch_9,Ch_10,Du_1,Du_2,Du_3,Du_4,Du_5,Du_6,Du_7,Du_8,Du_9,Du_10,En_1,En_2,En_3,En_4,En_5,En_6,En_7,En_8,En_9,En_10,Fi_1,Fi_2,Fi_3,Fi_4,Fi_5,Fi_6,Fi_7,Fi_8,Fi_9,Fi_10,Fr_1,Fr_2,Fr_3,Fr_4,Fr_5,Fr_6,Fr_7,Fr_8,Fr_9,Fr_10,It_1,It_2,It_3,It_4,It_5,It_6,It_7,It_8,It_9,It_10,Po_1,Po_2,Po_3,Po_4,Po_5,Po_6,Po_7,Po_8,Po_9,Po_10,Sp_1,Sp_2,Sp_3,Sp_4,Sp_5,Sp_6,Sp_7,Sp_8,Sp_9,Sp_10
A1,9804,20074,29878,39838,49926,59665,69457,79227,89369,99165,2440,4798,7152,9527,11923,14341,16758,19262,21640,23872,3590,7360,10948,14525,18149,21759,25238,28907,32552,36176,2978,6023,9070,12060,14949,17970,20957,23913,26999,29908,2158,4184,6224,8330,10318,12364,14331,16358,18404,20414,3795,7739,11638,15522,19334,23147,26872,30835,34657,38427,4880,9753,14707,19675,24436,29295,34096,38915,43890,48770,2943,5976,8793,11660,14535,17548,20282,23233,26145,29037
A2,2156,4393,6538,8651,10764,12847,14978,17056,19198,21315,932,1890,2745,3674,4570,5487,6434,7407,8330,9229,1578,3128,4758,6435,8112,9620,11274,12859,14437,16023,577,1100,1633,2230,2805,3313,3905,4444,5014,5590,879,1750,2624,3508,4335,5136,5976,6840,7677,8519,875,1772,2677,3549,4411,5310,6180,7052,7947,8843,1737,3363,5011,6634,8224,9850,11488,13130,14801,16488,1201,2423,3627,4854,6062,7242,8395,9598,10855,12083
A3,1263,2637,3962,5371,6667,8064,9484,10780,12113,13393,5447,11019,16652,22114,27615,33209,38702,44366,49889,55492,5629,11278,16779,22483,28046,33773,39427,45100,50873,56474,6390,12711,19041,25346,31785,38116,44411,50729,57129,63532,271,541,820,1079,1358,1651,1923,2215,2515,2811,959,1878,2871,3760,4700,5680,6686,7579,8587,9581,3313,6563,9915,13250,16586,19916,23240,26556,29825,33218,2501,5152,7643,10267,12747,15351,17912,20353,22869,25431
A4,1176,2383,3592,4769,6003,7241,8448,9689,10962,12185,740,1504,2262,3007,3701,4429,5191,5896,6627,7426,864,1725,2548,3386,4253,5048,5891,6729,7521,8348,375,779,1207,1587,1989,2393,2799,3220,3620,4000,675,1338,2044,2739,3397,4127,4795,5474,6128,6823,815,1649,2529,3441,4272,5168,5995,6795,7663,8496,995,1997,2975,3945,4983,6008,7038,8041,9034,10020,653,1261,1895,2568,3212,3817,4453,5124,5799,6419
A5,1737,3485,5263,6982,8725,10506,12209,13956,15665,17365,3600,7257,10893,14550,18145,21817,25494,29190,32820,36442,4541,9032,13514,18005,22469,27088,31625,36103,40369,44907,1375,2813,4254,5659,7059,8488,9923,11297,12715,14108,917,1881,2797,3688,4592,5479,6354,7224,8149,9035,4244,8286,12523,16646,20750,25042,29256,33537,37727,41975,6520,12845,19172,25481,31743,37964,44217,50352,56490,62776,1106,2284,3403,4558,5703,6832,7920,9019,10099,11147
A6,1162,2344,3574,4766,6000,7112,8223,9393,10571,11756,1188,2359,3545,4737,5947,7157,8352,9615,10808,12079,1658,3367,5062,6721,8384,10090,11788,13506,15201,16880,1371,2833,4150,5595,6991,8350,9754,11110,12503,13792,957,1994,3026,4028,5087,6146,7150,8198,9192,10197,1389,2776,4196,5577,6882,8201,9555,10944,12304,13664,2044,4062,6138,8116,10151,12263,14215,16207,18331,20253,762,1557,2351,3168,4018,4802,5597,6407,7258,8077
A7,555,1115,1644,2175,2741,3255,3777,4327,4862,5394,446,856,1336,1809,2235,2721,3178,3614,4094,4517,1632,3275,4898,6533,8204,9852,11482,13104,14686,16367,1218,2432,3623,4878,6131,7388,8650,9867,11063,12298,335,699,1044,1396,1724,2108,2469,2823,3159,3531,1108,2282,3377,4540,5645,6786,7879,8957,10121,11239,442,813,1185,1542,1937,2298,2696,3089,3462,3885,585,1143,1692,2238,2817,3402,3950,4508,5078,5623
A8,120,245,346,457,575,700,819,937,1068,1208,295,552,784,1057,1290,1546,1786,2063,2322,2579,246,484,694,933,1167,1426,1661,1898,2099,2321,66,131,184,259,311,364,430,489,568,627,85,190,278,389,480,570,687,783,875,982,186,405,580,762,933,1105,1262,1449,1645,1810,45,81,131,166,208,251,292,332,378,422,114,224,345,470,581,705,834,949,1067,1198
A9,2058,4257,6405,8461,10554,12689,14783,16915,19039,21075,3083,6291,9446,12631,15748,18898,21979,25092,28231,31396,3832,7562,11318,15017,18725,22558,26333,30024,33748,37427,1491,2947,4421,5920,7432,8894,10461,11942,13415,14856,3114,6303,9419,12592,15716,18904,22014,25202,28405,31534,2384,4798,7311,9936,12527,14909,17328,19767,22209,24693,1477,2915,4472,6001,7529,9076,10544,12021,13517,15023,1562,3079,4625,6240,7835,9410,10970,12584,14138,15670
A10,1175,2329,3442,4648,5846,7083,8323,9536,10722,11871,720,1437,2163,2925,3689,4406,5189,5914,6677,7410,671,1346,2040,2715,3390,4110,4800,5501,6163,6817,820,1578,2349,3189,3964,4760,5568,6363,7133,7901,1158,2283,3336,4429,5486,6520,7560,8620,9685,10833,917,1815,2747,3691,4682,5585,6544,7529,8474,9402,684,1347,1967,2606,3235,3891,4570,5223,5880,6526,865,1668,2442,3259,4065,4857,5669,6434,7248,8100
A11,1350,2689,4076,5387,6668,8068,9278,10583,11982,13244,417,853,1243,1681,2124,2512,2931,3344,3739,4134,641,1307,1947,2591,3262,3908,4541,5187,5761,6363,360,710,1087,1421,1790,2119,2495,2838,3162,3500,319,661,1020,1360,1718,2037,2379,2699,3048,3343,471,981,1511,2005,2442,2925,3409,3873,4357,4820,786,1601,2341,3114,3921,4747,5546,6344,7201,8027,240,503,708,957,1183,1429,1662,1928,2200,2461
A12,341,695,1074,1426,1795,2164,2538,2929,3325,3678,246,499,765,989,1217,1455,1685,1943,2199,2461,353,697,980,1301,1630,1954,2259,2581,2913,3193,315,618,932,1266,1568,1901,2216,2542,2864,3161,291,557,826,1085,1391,1634,1907,2152,2411,2696,280,568,855,1151,1434,1713,1992,2287,2548,2805,320,688,1057,1396,1750,2142,2518,2853,3252,3581,250,491,725,941,1192,1410,1667,1871,2109,2359
A13,1978,4034,6042,8046,10022,11998,13959,15865,17723,19622,6577,13108,19857,26485,33158,39662,46023,52599,59215,65725,2295,4506,6737,9037,11388,13651,15893,18094,20433,22723,2007,4107,6202,8182,10348,12416,14557,16697,18848,21030,1338,2704,4121,5530,6846,8159,9537,10989,12258,13620,1500,2879,4367,5718,7131,8586,10022,11455,12919,14423,5219,10342,15537,20767,26146,31464,36618,41748,47043,52429,922,1810,2718,3650,4578,5498,6383,7268,8209,9115
A14,160,347,539,723,903,1083,1255,1429,1609,1771,575,1038,1501,1991,2463,2960,3421,3887,4364,4867,370,713,1108,1493,1874,2240,2627,2998,3354,3701,435,890,1316,1766,2203,2642,3058,3502,3916,4320,124,247,380,482,611,734,841,968,1090,1212,291,566,838,1125,1411,1703,1951,2210,2473,2756,245,480,707,942,1216,1453,1666,1904,2141,2375,233,493,706,946,1177,1412,1633,1869,2121,2336
A15,171,322,476,671,857,1013,1183,1337,1521,1682,98,217,325,400,492,589,663,776,874,963,191,357,491,638,787,972,1158,1307,1467,1635,62,129,226,294,364,441,507,582,646,715,93,189,287,383,496,576,678,795,893,994,123,235,349,450,562,684,789,919,1052,1174,244,464,717,948,1174,1397,1663,1921,2156,2432,63,111,162,220,272,326,369,450,508,582
B1,710,1410,2076,2778,3526,4266,5053,5789,6453,7134,1054,2130,3149,4191,5197,6318,7284,8315,9373,10436,492,1034,1502,2013,2495,2987,3463,3974,4470,4969,519,1067,1632,2209,2732,3299,3836,4382,4934,5542,385,731,1048,1428,1772,2133,2487,2849,3229,3621,701,1418,2108,2802,3523,4270,4970,5731,6471,7191,710,1378,2098,2813,3541,4303,5017,5785,6472,7162,402,829,1215,1635,2016,2426,2783,3212,3616,4069
B2,268,600,843,1137,1456,1749,2020,2330,2645,2959,171,303,462,597,745,906,1051,1224,1388,1535,517,1077,1633,2154,2701,3231,3704,4225,4741,5245,176,357,537,682,868,1061,1252,1433,1630,1808,128,282,428,587,725,884,1028,1174,1322,1484,341,694,998,1373,1759,2101,2421,2775,3090,3473,436,881,1302,1746,2186,2621,3063,3513,3970,4388,171,335,446,599,732,891,1033,1178,1358,1539
B3,308,567,866,1137,1428,1767,2112,2407,2694,3012,96,180,276,368,478,581,665,746,851,947,505,1015,1505,2035,2555,3040,3544,4056,4576,5085,193,399,564,745,943,1130,1292,1446,1633,1783,67,138,231,320,403,477,571,637,712,802,247,486,754,1004,1254,1491,1733,1979,2202,2455,326,675,1043,1396,1730,2093,2508,2822,3150,3486,116,232,344,469,577,688,816,955,1078,1191
B4,271,537,803,1096,1352,1652,1947,2182,2464,2725,105,210,327,429,538,637,748,864,969,1074,59,132,208,309,369,440,496,555,611,668,58,119,174,224,281,338,393,456,504,572,71,121,196,264,333,416,497,567,646,717,68,120,189,268,337,411,500,561,642,739,44,108,172,223,277,338,385,428,497,552,104,207,333,448,557,677,800,908,1010,1101
B5,397,812,1154,1576,1949,2362,2759,3104,3484,3857,76,180,289,386,482,601,704,817,936,1026,146,291,445,595,754,918,1087,1237,1406,1565,146,282,407,534,677,824,973,1133,1271,1425,52,118,199,263,321,393,449,525,608,681,193,357,506,691,886,1087,1258,1427,1591,1751,229,488,790,1024,1295,1557,1812,2094,2342,2572,59,113,169,218,281,355,424,481,557,607
C1,313,649,976,1335,1665,2003,2360,2701,3006,3329,798,1567,2411,3244,4045,4828,5621,6425,7280,8086,308,634,937,1257,1542,1846,2206,2516,2844,3147,246,492,693,968,1231,1483,1731,1987,2233,2488,262,526,809,1060,1312,1570,1807,2075,2308,2587,476,913,1403,1927,2418,2935,3475,3936,4384,4857,416,814,1185,1556,1940,2319,2685,3079,3453,3846,333,652,971,1261,1591,1903,2218,2519,2828,3127
E1,127,251,377,511,664,785,907,1042,1139,1251,42,76,106,155,193,223,260,292,319,353,36,63,100,133,188,222,255,283,321,358,64,123,176,235,302,346,411,473,535,593,16,25,48,61,69,84,105,121,139,154,24,59,86,112,139,156,183,215,251,285,80,181,278,368,456,551,642,717,812,907,66,123,174,215,278,333,393,453,511,563
E2,319,627,921,1291,1630,1916,2200,2530,2843,3161,133,273,414,551,685,814,925,1056,1187,1327,224,410,596,802,1013,1208,1438,1660,1855,2063,124,239,350,455,573,684,807,921,1031,1139,137,272,407,526,652,782,896,1034,1175,1288,248,512,755,1016,1266,1534,1775,2046,2280,2518,109,202,289,475,584,688,767,874,965,1054,210,412,634,870,1088,1293,1497,1670,1869,2091
E3,240,426,654,859,1123,1347,1568,1767,1996,2215,241,501,740,983,1203,1445,1681,1906,2104,2322,298,586,880,1189,1499,1784,2095,2394,2671,2973,182,360,549,739,962,1155,1328,1507,1706,1877,251,477,722,950,1212,1489,1741,1991,2248,2483,198,394,591,824,1024,1230,1462,1680,1899,2092,289,597,875,1172,1473,1771,2067,2329,2634,2915,74,162,288,369,455,543,627,711,800,886
E4,284,556,840,1103,1397,1685,1953,2214,2478,2767,376,741,1073,1424,1785,2132,2454,2799,3169,3520,271,545,812,1081,1350,1617,1886,2161,2439,2704,328,639,992,1312,1689,2011,2354,2689,3011,3351,151,295,441,593,702,840,996,1146,1283,1460,228,476,747,986,1250,1502,1771,2021,2321,2588,214,429,655,843,1045,1256,1453,1665,1877,2094,187,360,536,721,891,1072,1275,1466,1648,1824
E5,40,86,131,168,214,258,306,350,390,439,50,91,132,183,232,280,332,383,421,472,56,119,180,245,317,396,460,528,604,668,76,162,221,283,366,447,533,602,669,738,40,78,119,166,225,263,306,353,383,434,64,138,200,260,313,379,451,516,587,666,38,87,127,176,204,240,274,302,341,385,29,57,92,115,140,171,189,204,227,255
E6,60,129,210,280,347,412,479,550,627,688,147,264,409,541,675,802,895,1036,1163,1328,175,351,495,670,852,1017,1166,1352,1538,1708,43,84,122,162,207,256,302,346,392,425,171,320,480,628,798,947,1103,1264,1426,1588,141,323,475,616,758,935,1101,1256,1436,1590,138,263,381,486,602,720,847,968,1094,1215,92,179,264,348,440,534,615,698,800,871
F1,491,970,1454,1975,2421,2879,3348,3867,4367,4826,382,772,1179,1553,1953,2345,2731,3104,3472,3857,236,486,719,991,1248,1498,1749,2041,2260,2548,268,549,833,1120,1417,1686,1964,2260,2546,2825,224,462,672,940,1153,1408,1638,1869,2113,2322,597,1143,1735,2218,2881,3465,4068,4650,5228,5768,514,1031,1477,1966,2499,3010,3574,4015,4528,4989,227,422,650,859,1090,1319,1516,1741,1934,2146
F2,139,266,407,540,659,798,942,1040,1181,1291,95,193,293,388,503,614,710,838,936,1047,71,141,197,269,336,394,474,552,628,708,79,149,246,336,416,502,593,679,770,870,70,125,204,280,360,418,487,571,638,730,96,190,287,375,470,539,637,728,816,924,149,265,407,544,682,829,989,1125,1272,1411,42,90,157,202,253,299,345,387,419,465
F3,41,98,145,199,264,322,401,471,534,588,27,52,75,98,113,139,162,184,201,216,20,51,68,82,98,122,155,174,209,228,7,13,20,35,39,50,60,66,75,88,9,13,25,32,38,46,55,63,75,83,7,21,34,41,48,51,63,68,81,91,7,9,18,32,39,49,54,64,83,87,2,7,10,10,12,15,18,22,26,29
F4,228,479,731,977,1245,1526,1812,2070,2367,2597,169,335,513,669,817,971,1137,1287,1442,1583,137,260,405,570,719,879,1005,1155,1315,1465,56,114,175,243,288,333,387,444,491,543,154,293,420,557,697,862,1016,1172,1334,1472,264,563,824,1105,1369,1659,1954,2217,2500,2764,195,389,576,755,960,1135,1334,1499,1687,1878,43,88,123,160,192,230,267,305,349,382
G1,570,1166,1743,2327,2952,3473,4042,4608,5220,5825,444,874,1289,1714,2119,2536,2956,3402,3818,4251,1033,2144,3261,4417,5576,6707,7773,8907,10084,11149,367,716,1044,1405,1751,2067,2418,2765,3118,3450,666,1332,2011,2678,3406,4076,4825,5442,6181,6876,548,1149,1695,2323,2938,3489,4054,4630,5165,5711,1552,3232,4811,6393,7974,9600,11169,12743,14389,15954,1439,2866,4320,5759,7245,8615,9988,11359,12813,14243
G2,376,852,1344,1825,2244,2707,3133,3578,3976,4428,384,754,1107,1479,1845,2217,2604,3003,3428,3753,879,1755,2653,3519,4443,5316,6174,7078,7980,8819,375,701,1043,1409,1816,2179,2584,2957,3292,3636,499,1010,1490,1923,2379,2845,3294,3749,4223,4716,1064,2162,3272,4364,5440,6492,7529,8528,9600,10666,2196,4331,6475,8774,11059,13157,15434,17731,19808,22079,653,1309,1952,2589,3211,3822,4444,5073,5702,6364
G3,128,254,380,513,639,770,889,986,1100,1248,128,264,408,542,695,821,953,1073,1208,1336,327,629,985,1275,1633,1946,2279,2669,2987,3306,104,175,261,345,418,499,582,666,753,852,248,472,713,918,1173,1384,1643,1883,2112,2362,201,404,618,827,1049,1261,1460,1670,1839,2042,376,797,1191,1603,1978,2347,2752,3174,3536,3904,101,192,286,378,484,601,695,782,908,1006
H1,291,568,887,1157,1441,1811,2085,2385,2782,3079,274,573,891,1176,1468,1743,2021,2274,2529,2797,240,539,832,1093,1357,1663,1934,2193,2498,2765,149,329,484,659,825,994,1185,1361,1520,1681,132,262,396,573,706,848,995,1153,1330,1477,411,807,1210,1633,2059,2484,2916,3281,3660,4010,355,698,1068,1422,1768,2164,2529,2865,3212,3541,578,1119,1746,2358,2949,3602,4197,4822,5492,6154
H2,243,542,798,1044,1289,1551,1825,2065,2301,2516,198,410,599,821,1025,1208,1445,1614,1800,1999,198,401,575,772,987,1181,1384,1569,1790,2012,157,309,458,633,791,933,1124,1268,1410,1577,172,335,512,671,828,1010,1154,1318,1457,1616,451,890,1325,1755,2189,2650,3154,3594,4001,4400,514,1045,1605,2118,2579,3128,3679,4242,4754,5286,248,507,728,977,1238,1481,1743,1985,2235,2462
H3,35,65,98,131,163,190,228,254,294,315,30,58,86,117,146,174,210,244,280,311,19,50,70,85,99,118,151,174,192,211,62,131,219,283,349,419,493,561,639,705,61,108,155,209,277,331,379,435,480,543,14,25,40,54,65,84,96,110,125,141,54,121,177,240,302,380,443,508,553,621,56,113,159,218,264,329,369,420,467,516
H4,262,521,781,1049,1278,1539,1832,2108,2385,2667,150,312,496,671,863,1031,1189,1342,1507,1674,267,533,782,1060,1325,1599,1887,2161,2426,2707,161,333,489,658,814,964,1105,1282,1464,1599,205,404,573,768,966,1181,1372,1561,1776,1983,275,520,791,1049,1329,1580,1836,2107,2400,2677,111,229,361,473,569,667,774,901,1013,1126,52,109,192,262,339,417,487,556,626,684
H5,106,262,367,541,692,849,980,1093,1208,1329,96,215,329,443,547,652,767,849,974,1073,83,174,259,340,435,518,621,701,793,892,66,148,242,303,393,485,569,651,718,794,76,165,240,288,389,478,558,634,712,800,110,220,332,439,544,678,781,885,978,1085,119,244,376,504,623,776,898,1004,1114,1226,74,164,262,350,432,527,605,681,763,848
I1,733,1523,2207,2910,3589,4348,5024,5744,6462,7152,621,1232,1807,2346,2952,3506,4112,4684,5265,5817,1289,2587,3910,5189,6500,7746,9006,10324,11681,13067,533,1108,1709,2195,2773,3296,3826,4345,4820,5345,476,918,1375,1820,2300,2823,3263,3712,4166,4611,1187,2309,3454,4552,5712,6805,7933,9149,10278,11481,1463,2955,4441,5941,7482,9020,10497,11960,13477,14992,1579,3272,4855,6541,8163,9829,11536,13229,14831,16524
I2,1160,2465,3642,4847,6072,7299,8570,9744,10986,12217,412,817,1226,1642,2079,2484,2915,3350,3774,4173,1019,2089,3129,4151,5206,6244,7254,8323,9388,10373,525,1076,1600,2175,2727,3268,3827,4339,4910,5481,318,682,1038,1384,1769,2157,2523,2911,3265,3684,736,1392,2096,2756,3431,4075,4789,5479,6184,6852,818,1617,2459,3244,4006,4825,5608,6339,7061,7839,567,1182,1818,2462,3149,3769,4445,5074,5720,6324
I3,553,1087,1573,2129,2621,3124,3605,4110,4646,5167,570,1109,1679,2221,2738,3254,3747,4286,4807,5344,748,1472,2240,2987,3748,4535,5307,6098,6802,7539,387,711,1034,1395,1752,2111,2456,2812,3195,3567,575,1156,1701,2287,2815,3372,3900,4402,4985,5548,546,1086,1527,2036,2550,3075,3572,4106,4591,5084,491,1105,1608,2104,2648,3198,3693,4228,4742,5312,248,499,759,1016,1241,1460,1686,1945,2169,2370
I4,68,152,225,290,367,440,517,598,689,757,15,34,53,72,82,109,126,138,158,179,75,207,329,440,575,711,830,967,1110,1208,33,64,93,123,147,180,219,252,282,315,45,100,158,208,274,317,363,405,462,502,152,306,446,586,738,887,1053,1209,1369,1537,46,83,132,181,230,269,307,368,415,449,19,49,67,86,104,117,143,168,191,206
K1,127,230,342,456,569,706,811,924,1062,1165,285,562,852,1102,1359,1609,1890,2177,2472,2713,189,352,532,700,865,1055,1232,1419,1596,1771,102,202,302,394,495,601,696,803,891,999,147,281,419,549,691,816,952,1077,1214,1355,248,505,788,1043,1265,1538,1778,2029,2290,2557,179,359,522,692,853,1047,1203,1358,1535,1701,298,610,845,1142,1383,1689,1964,2201,2473,2727
K2,69,141,219,326,409,496,558,648,731,831,69,144,257,355,449,557,660,754,867,963,108,235,365,498,657,776,901,1025,1108,1257,166,340,505,684,854,1016,1188,1343,1522,1699,131,241,366,480,609,738,887,981,1107,1244,237,465,663,858,1085,1286,1535,1759,1984,2187,112,211,332,429,570,670,784,883,989,1076,150,270,379,494,631,742,881,1007,1121,1221
K3,7,12,22,31,39,50,55,62,70,73,2,4,11,15,19,24,33,34,38,44,31,56,86,105,151,186,226,258,286,311,8,14,19,34,44,55,64,71,84,89,4,6,8,8,8,12,13,14,16,16,17,35,51,64,73,85,106,124,139,151,2,2,8,15,21,25,31,39,39,41,0,0,0,0,0,0,0,0,0,0
K4,107,201,321,439,549,658,745,839,950,1044,53,120,176,226,284,338,389,438,493,553,133,281,408,529,678,817,956,1093,1212,1364,29,57,90,119,161,194,230,253,279,322,123,224,320,413,513,603,691,787,889,995,137,267,402,524,659,775,919,1050,1176,1299,117,243,363,489,609,721,849,977,1117,1229,59,129,203,270,333,409,490,554,601,671
K5,228,453,688,970,1203,1437,1713,1950,2217,2462,250,513,775,1081,1378,1692,1998,2268,2569,2874,299,604,930,1212,1488,1775,2101,2418,2711,2982,289,542,820,1109,1400,1686,1924,2200,2494,2786,114,263,372,485,605,732,872,1005,1123,1263,445,876,1339,1776,2202,2619,2971,3417,3853,4302,409,789,1182,1597,2010,2365,2780,3132,3579,3976,340,711,1076,1426,1764,2081,2467,2780,3152,3492
K6,5,10,21,26,33,39,42,47,55,56,34,59,88,115,136,155,189,214,233,263,22,57,93,131,160,189,214,240,270,290,25,34,53,70,85,101,126,145,172,189,20,40,58,81,113,133,151,178,196,216,38,75,108,143,184,224,261,297,329,372,20,41,54,83,110,130,142,156,177,195,0,0,0,0,0,0,0,0,0,0
L1,93,162,241,309,395,468,546,613,707,795,178,366,527,717,905,1071,1248,1427,1617,1810,277,537,841,1112,1418,1705,1969,2219,2512,2782,218,420,608,833,1052,1241,1466,1665,1854,2064,174,357,545,721,884,1097,1281,1445,1632,1805,257,497,768,1051,1358,1596,1861,2150,2429,2678,292,576,838,1131,1410,1681,1935,2226,2494,2785,198,408,654,877,1101,1288,1485,1694,1892,2100
L2,158,337,513,686,884,1069,1255,1435,1608,1773,140,272,376,500,622,741,848,972,1116,1238,170,378,553,761,954,1123,1292,1473,1657,1851,273,517,781,1083,1330,1578,1821,2113,2402,2662,112,217,322,451,555,678,805,899,1015,1120,257,513,802,1105,1406,1696,1955,2216,2523,2801,180,368,525,679,809,950,1071,1212,1345,1478,97,212,337,439,566,676,781,906,1016,1136
